GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
classloadersample,org.example.reflection,BookMain,109,0,0,0,19,0,2,0,2,0
classloadersample,org.example.reflection,Book,26,0,0,0,10,0,5,0,5,0
classloadersample,org.example.di,ContainerService,15,35,1,1,5,10,2,3,1,3
classloadersample,org.example.bytecode,Moja,5,0,0,0,2,0,2,0,2,0
classloadersample,org.example.bytecode,Masulsa,30,0,2,0,10,0,5,0,4,0
classloadersample,org.example,Moim,4,13,2,2,2,4,2,2,0,2
